# phone_timestamp_us, pc_timestamp_us
113723005135, 1781790279162311
113723038480, 1781790279195523
113723071825, 1781790279228784
113723105171, 1781790279261886
113723138516, 1781790279294747
113723171861, 1781790279328497
113723205206, 1781790279361878
113723238551, 1781790279395561
113723271897, 1781790279428258
113723305242, 1781790279462344
113723338587, 1781790279494913
113723371932, 1781790279528395
113723405277, 1781790279561652
113723438623, 1781790279594858
113723471968, 1781790279628616
113723505313, 1781790279661343
113723538658, 1781790279694721
113723572004, 1781790279728757
113723605349, 1781790279761967
113723638694, 1781790279794677
113723672039, 1781790279828339
113723705385, 1781790279861223
113723738730, 1781790279894684
113723772075, 1781790279927933
113723805420, 1781790279961284
113723838765, 1781790279994732
113723872110, 1781790280032555
113723905456, 1781790280061836
113723938801, 1781790280094693
113723972146, 1781790280128148
113724005491, 1781790280161550
113724038837, 1781790280194729
113724072182, 1781790280228273
113724105527, 1781790280261196
113724138872, 1781790280295057
113724172217, 1781790280328130
113724205563, 1781790280361919
113724238908, 1781790280395195
113724272253, 1781790280428123
113724305598, 1781790280461208
113724338943, 1781790280494612
113724372289, 1781790280528198
113724405634, 1781790280561655
113724438979, 1781790280594644
113724472324, 1781790280628644
113724505669, 1781790280661163
113724539015, 1781790280694680
113724572360, 1781790280728058
113724605705, 1781790280761780
113724639050, 1781790280794849
113724672395, 1781790280828500
113724705740, 1781790280861158
113724739086, 1781790280895012
113724772431, 1781790280928537
113724805776, 1781790280961578
113724839121, 1781790280994504
113724872466, 1781790281027959
113724905812, 1781790281061610
113724939157, 1781790281094696
113724972502, 1781790281128176
113725005847, 1781790281161571
113725039192, 1781790281194472
113725072537, 1781790281228352
113725105882, 1781790281261193
113725139228, 1781790281294945
113725172573, 1781790281328198
113725205918, 1781790281361565
113725239263, 1781790281394991
113725272608, 1781790281428458
113725305953, 1781790281461426
113725339299, 1781790281494901
113725372644, 1781790281528556
113725405989, 1781790281561606
113725439334, 1781790281594822
113725472679, 1781790281628498
113725506025, 1781790281661233
113725539370, 1781790281694522
113725572715, 1781790281728361
113725606060, 1781790281761511
113725639405, 1781790281794425
113725672750, 1781790281828501
113725706095, 1781790281861784
113725739441, 1781790281894962
113725772786, 1781790281928170
113725806131, 1781790281961771
